,R % avg,Vol,U.S. Stocks,Non-US Developed,Emerging Markets,Global Equity,Core U.S. Bonds,Corp Bonds,10-yr Treasury,3M SOFR (Cash),10-yr TIPS,High Yield Bonds,Bank Loans,Emerging Market Debt,Private Real Estate (UL),Public REITs,Private PE Partnerships,Diversified Private Equity,Diversified Hedge Funds,Energy Funds,Farmland,Commodity Futures,Infrastructure,MLPs,Private Debt (UL),Private Debt (L1.0),Public BDCs,Buyouts,Venture Capital,Enhanced Lending,Absolute Return HFs,Market Neutral HFs,Credit Distressed HFs,Event Driven HFs,Equity L/S HFs,Macro (Discretionary) HFs,Macro (Trend) HFs,Multi Strategy HFs,CPI
U.S. Stocks,0.0915,0.17,1,0.85,0.85,0.9,0.2,0.45,0.2,0,0.3,0.65,0.55,0.55,0.5,0.7,0.5,0.8,0.7,0.6,0.1,0.35,0.7,0.5,0.65,0.65,0.8,0.85,0.7,0.5,0.42,0.4,0.6,0.75,0.85,0.1,0,0.5,-0.1
Non-US Developed,0.0891,0.19,0.85,1,0.8,0.9,0.15,0.25,0.2,0,0.25,0.6,0.1,0.6,0.45,0.65,0.45,0.7,0.7,0.2,0.1,0.5,0.65,0.5,0.6,0.6,0.75,0.85,0.7,0.45,0.42,0.4,0.6,0.75,0.85,0.1,0,0.5,-0.05
Emerging Markets,0.0952,0.22,0.85,0.8,1,0.85,0.15,0.3,0.2,0.05,0.25,0.6,0.4,0.6,0.4,0.65,0.4,0.6,0.65,0.4,0.1,0.55,0.55,0.54,0.6,0.6,0.7,0.85,0.6,0.45,0.42,0.4,0.6,0.75,0.85,0.1,0,0.5,0.4
Global Equity,0.0895,0.17,0.9,0.9,0.85,1,0.15,0.25,0.2,0,0.25,0.6,0.4,0.6,0.45,0.65,0.45,0.7,0.7,0.45,0.1,0.45,0.5,0.51,0.6,0.6,0.8,0.9,0.7,0.45,0.42,0.4,0.6,0.75,0.85,0.1,0,0.5,0
Core U.S. Bonds,0.0503,0.05,0.2,0.15,0.15,0.15,1,0.87,0.85,0.05,0.8,0.2,0.05,0.55,0,0.15,0,0.2,0,0,-0.1,0.05,0,-0.05,0,0,0,0.2,0.2,0.19,0.04,0,0.2,0.2,0.2,0,0,0,-0.2
Corp Bonds,0.056,0.07,0.45,0.25,0.3,0.25,0.87,1,0.65,0.05,0.7,0.5,0.3,0.75,0.15,0.15,0.05,0.25,0.3,0.25,-0.1,0.25,0.1,0.2,0.5,0.5,0.3,0.45,0.25,0.4,0.3,0.2,0.5,0.4,0.4,0.1,0,0.4,-0.15
10-yr Treasury,0.0487,0.08,0.2,0.2,0.2,0.2,0.85,0.65,1,0,0.65,0.2,-0.2,0.3,0,0,0.05,0.2,0,0.3,-0.1,-0.05,0,-0.2,-0.15,-0.15,-0.1,0.2,0.2,-0.15,-0.14,-0.1,-0.3,-0.3,-0.3,0,0,-0.2,-0.25
3M SOFR (Cash),0.0347,0.02,0,0,0.05,0,0.05,0.05,0,1,-0.05,-0.15,0.2,-0.15,0,-0.15,0,0,-0.1,0,0,-0.1,0,0,-0.15,-0.15,0,0,0,-0.15,0.1,0,0,0,0,0.15,0.15,0,0.7
10-yr TIPS,0.048,0.07,0.3,0.25,0.25,0.25,0.8,0.7,0.65,-0.05,1,0.3,0.3,0.55,0.3,0.2,0,0.3,0.15,0.3,0.1,0.35,0.4,0.15,0.3,0.3,0.1,0.3,0.3,0.3,-0.02,0,-0.1,-0.1,-0.1,0,0,0,0.8
High Yield Bonds,0.0676,0.11,0.65,0.6,0.6,0.6,0.2,0.5,0.2,-0.15,0.3,1,0.8,0.7,0.65,0.65,0.7,0.65,0.7,0.5,-0.1,0.35,0.6,0.65,0.8,0.8,0.75,0.65,0.65,0.7,0.35,0.2,0.8,0.6,0.4,0,0,0.5,-0.05
Bank Loans,0.0606,0.09,0.55,0.1,0.4,0.4,0.05,0.3,-0.2,0.2,0.3,0.8,1,0.4,0.4,0.4,0.5,0.5,0.8,0.3,-0.1,0.3,0.6,0.65,0.8,0.8,0.5,0.55,0.5,0.7,0.35,0.2,0.8,0.6,0.4,0,0,0.5,0.3
Emerging Market Debt,0.0565,0.07,0.55,0.6,0.6,0.6,0.55,0.75,0.3,-0.15,0.55,0.7,0.4,1,0.25,0.5,0.1,0.25,0.55,0.1,-0.1,0.35,0.25,0.4,0.7,0.7,0.4,0.55,0.55,0.6,0.25,0.1,0.6,0.4,0.4,0,0,0.4,0
Private Real Estate (UL),0.0748,0.0875,0.5,0.45,0.4,0.45,0,0.15,0,0,0.3,0.65,0.4,0.25,1,0.75,0.75,0.7,0.2,0.3,0.05,0.1,0.7,0.35,0.65,0.65,0.7,0.5,0.5,0.55,0.22,0.3,0.3,0.4,0.4,0,0,0.2,0.35
Public REITs,0.0872,0.22,0.7,0.65,0.65,0.65,0.15,0.15,0,-0.15,0.2,0.65,0.4,0.5,0.75,1,0.65,0.6,0.55,0.6,0.05,0.25,0.6,0.35,0.65,0.65,0.7,0.7,0.7,0.55,0.22,0.3,0.3,0.3,0.3,0,0,0.2,0.35
Private PE Partnerships,0.0934,0.1575,0.5,0.45,0.4,0.45,0,0.05,0.05,0,0,0.7,0.5,0.1,0.75,0.65,1,0.6,0.2,0.5,0.05,0.1,0.6,0.35,0.7,0.7,0.7,0.5,0.5,0.6,0.22,0.3,0.3,0.3,0.3,0,0,0.2,0.35
Diversified Private Equity,0.125,0.2,0.8,0.7,0.6,0.7,0.2,0.25,0.2,0,0.3,0.65,0.5,0.25,0.7,0.6,0.6,1,0.3,0.8,0.35,0.2,0.65,0.5,0.8,0.8,0.8,0.8,0.9,0.7,0.2,0,0.5,0.6,0.7,0,0,0.4,-0.1
Diversified Hedge Funds,0.0605,0.044,0.7,0.7,0.65,0.7,0,0.3,0,-0.1,0.15,0.7,0.8,0.55,0.2,0.55,0.2,0.3,1,0.3,0,0.6,0.5,0.6,0.7,0.7,0.75,0.7,0.7,0.6,0.71,0.5,0.7,0.8,0.7,0.4,0.4,0.5,0.5
Energy Funds,0.1531,0.31,0.6,0.2,0.4,0.45,0,0.25,0.3,0,0.3,0.5,0.3,0.1,0.3,0.6,0.5,0.8,0.3,1,0,0.2,0.8,0.8,0,0,0,0.6,0.6,0,0.35,0.3,0.6,0.8,0.65,0,0,0.5,0.5
Farmland,0.0711,0.11,0.1,0.1,0.1,0.1,-0.1,-0.1,-0.1,0,0.1,-0.1,-0.1,-0.1,0.05,0.05,0.05,0.35,0,0,1,0,0,0,-0.1,-0.1,-0.1,0,0,-0.1,0,0,0,0,0,0,0,0,0.3
Commodity Futures,0.0497,0.18,0.35,0.5,0.55,0.45,0.05,0.25,-0.05,-0.1,0.35,0.35,0.3,0.35,0.1,0.25,0.1,0.2,0.6,0.2,0,1,0.2,0.4,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.3,0.6,0.6,0.4,0,0,0.5,0.35
Infrastructure,0.0797,0.12,0.7,0.65,0.55,0.5,0,0.1,0,0,0.4,0.6,0.6,0.25,0.7,0.6,0.6,0.65,0.5,0.8,0,0.2,1,0.4,0.6,0.6,0.6,0.7,0.7,0.4,0.33,0.3,0.6,0.4,0.4,0,0,0.4,0.2
MLPs,0.1018,0.24,0.5,0.5,0.54,0.51,-0.05,0.2,-0.2,0,0.15,0.65,0.65,0.4,0.35,0.35,0.35,0.5,0.6,0.8,0,0.4,0.4,1,0.65,0.65,0.6,0.5,0.5,0.4,0.22,0.3,0.3,0.3,0.3,0,0,0.2,0.2
Private Debt (UL),0.0701,0.035,0.65,0.6,0.6,0.6,0,0.5,-0.15,-0.15,0.3,0.8,0.8,0.7,0.65,0.65,0.7,0.8,0.7,0,-0.1,0.35,0.6,0.65,1,0.97,0.9,0.65,0.65,0.8,0.35,0.2,0.8,0.6,0.4,0,0,0.5,0.3
Private Debt (L1.0),0.094,0.07,0.65,0.6,0.6,0.6,0,0.5,-0.15,-0.15,0.3,0.8,0.8,0.7,0.65,0.65,0.7,0.8,0.7,0,-0.1,0.35,0.6,0.65,0.97,1,0.9,0.8,0.8,0.7,0.35,0.2,0.8,0.6,0.4,0,0,0.5,0.3
Public BDCs,0.1045,0.2,0.8,0.75,0.7,0.8,0,0.3,-0.1,0,0.1,0.75,0.5,0.4,0.7,0.7,0.7,0.8,0.75,0,-0.1,0.35,0.6,0.6,0.9,0.9,1,0.8,0.8,0.7,0.38,0.4,0.5,0.65,0.75,0.1,0,0.4,0.1
Buyouts,0.1145,0.17,0.85,0.85,0.85,0.9,0.2,0.45,0.2,0,0.3,0.65,0.55,0.55,0.5,0.7,0.5,0.8,0.7,0.6,0,0.35,0.7,0.5,0.65,0.8,0.8,1,0.8,0.7,0.42,0.4,0.6,0.75,0.85,0.1,0,0.5,-0.1
Venture Capital,0.165,0.3,0.7,0.7,0.6,0.7,0.2,0.25,0.2,0,0.3,0.65,0.5,0.55,0.5,0.7,0.5,0.9,0.7,0.6,0,0.35,0.7,0.5,0.65,0.8,0.8,0.8,1,0.7,0.42,0.4,0.6,0.75,0.85,0.1,0,0.5,-0.1
Enhanced Lending,0.1007,0.0495,0.5,0.45,0.45,0.45,0.19,0.4,-0.15,-0.15,0.3,0.7,0.7,0.6,0.55,0.55,0.6,0.7,0.6,0,-0.1,0.35,0.4,0.4,0.8,0.7,0.7,0.7,0.7,1,0.35,0.2,0.8,0.6,0.4,0,0,0.5,0.3
Absolute Return HFs,0.0541,0.0334,0.42,0.42,0.42,0.42,0.04,0.3,-0.14,0.1,-0.02,0.35,0.35,0.25,0.22,0.22,0.22,0.2,0.71,0.35,0,0.35,0.33,0.22,0.35,0.35,0.38,0.42,0.42,0.35,1,0.65,0.59,0.52,0.53,0.8,0.57,0.76,0.14
Market Neutral HFs,0.0479,0.0363,0.4,0.4,0.4,0.4,0,0.2,-0.1,0,0,0.2,0.2,0.1,0.3,0.3,0.3,0,0.5,0.3,0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.2,0.65,1,0.26,0.1,0,0.4,0.15,0.18,0.1
Credit Distressed HFs,0.0621,0.0586,0.6,0.6,0.6,0.6,0.2,0.5,-0.3,0,-0.1,0.8,0.8,0.6,0.3,0.3,0.3,0.5,0.7,0.6,0,0.6,0.6,0.3,0.8,0.8,0.5,0.6,0.6,0.8,0.59,0.26,1,0.76,0.71,0.3,0,0.87,0
Event Driven HFs,0.0712,0.0726,0.75,0.75,0.75,0.75,0.2,0.4,-0.3,0,-0.1,0.6,0.6,0.4,0.4,0.3,0.3,0.6,0.8,0.8,0,0.6,0.4,0.3,0.6,0.6,0.65,0.75,0.75,0.6,0.52,0.1,0.76,1,0.85,0.42,0.01,0.84,-0.1
Equity L/S HFs,0.0724,0.0764,0.85,0.85,0.85,0.85,0.2,0.4,-0.3,0,-0.1,0.4,0.4,0.4,0.4,0.3,0.3,0.7,0.7,0.65,0,0.4,0.4,0.3,0.4,0.4,0.75,0.85,0.85,0.4,0.53,0,0.71,0.85,1,0.42,0.18,0.8,-0.1
