Ticker,Name,Inception Date,Last Price,Below 52W High %,Below All-Time High %,RSI,Volatility (1M),Volatility (3M),Volatility (6M),Volatility (1Y),Fund Flows/Periodic (M),Fund Flows/Periodic (W),Fund Flows/Periodic (Y),EMA (10D),EMA (20D),EMA (50D),EMA (100D),EMA (150D),EMA (200D),EMA (250D),EMA (300D),EMA (5D),EMA (21D),RSI 10D,Price Chg. % (1M),Price Chg. % (3M),Price Chg. % (1W),Price Chg. % (6M),Price Chg. % (1Y),Price Chg. % (3Y),Price Chg. % (5Y),Price Chg. % (10Y),Classification,All-Time High,All-Time Low,AUM,Class,Rel. Volume,30-Day SEC Yield,SEC Yield,P/E (LTM),P/E (NTM),Div Yield (Ind)
AGG,iShares Core U.S. Bond ETF,Sep-22-2003,99.1700,-0.0225,-0.1717,46.07,5.80,4.23,3.66,4.19,-2232.22,-2338.84,10040.27,99.1032,99.3034,99.7237,99.8760,99.8064,99.6747,99.5164,99.3910,99.1016,99.3251,47.72,-0.0095,-0.0095,-0.0010,-0.0096,0.0099,-0.0126,-0.1303,-0.1065,US Fixed Income,119.7300,86.8000,136073.35,Fixed Income/Broad Debt/Investment Grade,1.1,0.0431,0.0433,,,0.0392
BDRY,Amplify Dry Bulk ETF,Mar-22-2018,10.4400,-0.1747,-0.7527,50.34,42.14,47.19,44.26,42.48,3.87,0.00,-43.76,10.1973,10.3356,10.4234,9.9627,9.5022,9.1832,9.0118,8.9920,10.2268,10.3501,52.74,-0.0019,0.1877,0.0471,0.3050,0.9405,0.0642,-0.3848,,Other Sector Equity,42.2199,3.7500,44.63,Multi Asset/Absolute Returns/Global Macro,0.5,,,,,
BKLN,Invesco Senior Loan ETF,Mar-03-2011,20.5000,-0.0271,-0.1916,51.82,5.15,4.94,3.77,4.27,214.39,20.43,-804.30,20.4566,20.4636,20.5516,20.6688,20.7320,20.7724,20.8021,20.8251,20.4675,20.4654,55.02,0.0069,-0.0257,0.0044,-0.0201,0.0189,-0.0173,-0.0774,-0.0925,US Fixed Income,25.3600,17.0600,6287.99,Fixed Income/Corporate/Loans,0.4,0.0680,0.0681,,,0.0702
BNDX,Vanguard Total Int'l Bond ETF,May-31-2013,47.9050,-0.0406,-0.1917,42.64,5.86,4.07,3.35,3.28,823.16,91.74,15624.41,47.9410,48.0645,48.3467,48.6195,48.7810,48.8823,48.9419,48.9806,47.9160,48.0772,43.63,-0.0110,-0.0129,-0.0030,-0.0291,-0.0195,-0.0225,-0.1626,-0.1218,Global Fixed Income,59.2700,46.8731,77516.67,Fixed Income/Broad Debt/Investment Grade,0.9,0.0326,0.0326,7.5,7.8,0.0447
BWET,Amplify Breakwave Tanker ETF,May-03-2023,138.2400,-0.0622,-0.0622,70.63,174.32,140.01,109.79,86.26,1.50,5.34,14.74,118.4549,102.1631,75.2063,54.9919,44.7406,38.5185,34.3954,31.5646,129.5251,100.8427,70.97,1.4050,5.1935,0.4035,8.9161,12.5463,,,,Commodities Specified,147.4040,9.0600,48.35,Commodities/Sector/Energy,1.2,,,,,
CANE,Teucrium Sugar ETF,Sep-16-2011,9.8700,-0.1976,-0.6266,45.35,26.19,21.20,20.35,19.26,68.06,26.11,77.40,10.2111,10.1100,9.8436,9.8138,9.9548,10.1391,10.3214,10.4992,10.1346,10.0966,39.21,0.0422,0.0175,-0.0546,-0.0697,-0.1843,-0.1923,0.3785,-0.0082,Commodities Specified,26.4300,4.9100,85.60,Commodities/Agriculture/Sugar,1.5,,,,,
CORN,Teucrium Corn ETF,Jun-09-2010,18.0500,-0.0865,-0.6576,44.41,17.55,16.32,14.34,14.88,245.03,62.43,244.45,18.3195,18.3221,18.1019,17.9365,17.9093,17.9504,18.0334,18.1324,18.2217,18.3156,39.96,-0.0254,0.0078,-0.0190,0.0309,-0.0358,-0.2704,0.0415,-0.1225,Commodities Specified,52.7100,11.5200,290.95,Commodities/Agriculture/Corn,0.6,,,,,
CPER,US Copper Index Fund,Nov-15-2011,34.0800,-0.1573,-0.1573,45.82,30.76,32.63,30.98,35.63,-113.39,-18.98,484.45,34.1031,34.3543,34.8037,34.2993,33.5818,32.9262,32.3402,31.8358,34.1491,34.3844,46.53,-0.0435,-0.0510,-0.0102,0.0888,0.2774,0.3865,0.3599,1.4706,Commodities Specified,40.4400,12.8700,693.52,Commodities/Industrial Metals/Copper,0.8,,,,,
CWB,SPDR Convertible ETF,Apr-14-2009,93.8400,-0.0242,-0.0242,54.56,20.20,16.87,16.32,13.82,-774.48,-91.81,-20.68,92.5667,92.6500,92.8337,92.0520,90.8251,89.5274,88.2576,87.0116,92.9307,92.6683,57.25,0.0274,0.0189,0.0253,0.0204,0.2960,0.4154,0.1050,1.1941,Convertibles,96.1700,30.0000,4463.67,Fixed Income/Corporate/Convertibles,0.5,,0.0166,39.7,15.9,0.0160
DBA,Invesco DB Ag Fund,Jan-05-2007,27.0100,-0.0357,-0.3791,56.94,8.43,7.30,9.42,11.29,428.52,1.36,371.47,27.0789,26.9046,26.5332,26.3808,26.3661,26.3414,26.2711,26.1470,27.1280,26.8869,53.73,0.0112,0.0425,-0.0113,0.0154,0.0605,0.3080,0.5768,0.3465,Commodities Specified,43.5000,13.1500,1213.06,Commodities/Agriculture/Broad Agriculture,1.1,,,,,0.0338
