Ticker,Full_Universe_Group
AGG,Fixed Income/Broad Debt
BDRY,Commodities
BKLN,Fixed Income/Corporate
BNDX,Fixed Income/Broad Debt
BWET,Commodities
CANE,Commodities
CORN,Commodities
CPER,Commodities
CWB,Fixed Income/Corporate
DBA,Commodities
DBB,Commodities
DBO,Commodities
EEM,Equity/Broad Equity
EMB,Fixed Income/Sovereign
EMXC,Equity/Broad Equity
ETHA,Currency/Alternative Currency
EWA,Equity/International Equity
EWC,Equity/International Equity
EWG,Equity/International Equity
EWH,Equity/International Equity
EWJ,Equity/International Equity
EWQ,Equity/International Equity
EWS,Equity/International Equity
EWU,Equity/International Equity
EWW,Equity/International Equity
EWY,Equity/International Equity
EWZ,Equity/International Equity
EZA,Equity/International Equity
EZU,Equity/International Equity
FXB,Currency
FXE,Currency
FXF,Currency
FXI,Equity/International Equity
FXY,Currency
GDX,Equity/Sector
GLD,Currency
GSG,Commodities
HEFA,Equity/Broad Equity
HYG,Fixed Income/Corporate
IBIT,Currency/Alternative Currency
IEF,Fixed Income/U.S. Government
IGOV,Fixed Income/Sovereign
ILF,Equity/International Equity
INDA,Equity/International Equity
ITA,Equity/Sector
ITB,Equity/Sector
IWM,Equity/Size and Style
LQD,Fixed Income/Corporate
MBB,Fixed Income/U.S. Government
MLPX,Equity/Sector
MTUM,Equity/Size and Style
PALL,Commodities
PFF,Equity/Size and Style
PPLT,Commodities
QQQ,Equity/Size and Style
RSP,Equity/Size and Style
SCHF,Equity/International Equity
SHV,Fixed Income/U.S. Government
SHY,Fixed Income/U.S. Government
SLV,Commodities
SPY,Equity/Size and Style
TIP,Fixed Income/U.S. Government
TLT,Fixed Income/U.S. Government
UNG,Commodities/Energy
URA,Equity/Sector
USMV,Equity/Size and Style
USO,Commodities
UUP,Currency
VGK,Equity/Broad Equity
VT,Equity/International Equity
VYMI,Equity/Size and Style
WEAT,Commodities
XLB,Equity/Sector
XLE,Equity/Sector
XLF,Equity/Sector
XLI,Equity/Sector
XLK,Equity/Sector
XLP,Equity/Sector
XLRE,Equity/Sector
XLU,Equity/Sector
XLV,Equity/Sector
XLY,Equity/Sector
XME,Equity/Sector
XOP,Equity/Sector
