Group,Ticker,Sort_Order
US Large Cap,IVV, 1
US Large Cap,GMOV,2
US Large Cap,FNDB,3
US SMID Cap,SCHA,4
US SMID Cap,VBR,5
International Dev. Active,DFJ,6
International Dev. Active,FLJP,7
International Dev. Active,DXJ,8
International Dev. Passive,SCHF,9
International Dev. Passive,FNDF,10
International Dev. Passive,VSS,11
EM Passive,IEMG,12
EM Passive,EMXC,13
USTs,SCHR,14
USTs,SPTL,15
USTs,VGSH,16
TIPS,LTPZ,17
TIPS,SCHP,18
TIPS,VTIP,19
Diversified Debt Funds,DFLFX,20
Diversified Debt Funds,GTPIX,21
Diversified Debt Funds,ABLFX,22
Diversified Debt Funds,RCTIX,23
Diversified Debt Funds,ODIDX,24
Gold,PHYS,25
Commodities,COMT,26
Commodities,CMDY,27
Commodities,XLE,28
Commodities,COM,29
Long/Short Quantitative,DBMF,30
Long/Short Quantitative,QGMIX,31
Long/Short Quantitative,AHLT,32
